scope,name,path,lines,decision
hermes,pokemon-player,/Users/alexjordan/.hermes/skills/gaming/pokemon-player/SKILL.md,215,see_report
hermes,github-auth,/Users/alexjordan/.hermes/skills/github/github-auth/SKILL.md,316,see_report
hermes,github-code-review,/Users/alexjordan/.hermes/skills/github/github-code-review/SKILL.md,481,see_report
hermes,github-issue-to-pr,/Users/alexjordan/.hermes/skills/github/github-issue-to-pr/SKILL.md,77,see_report
hermes,github-issues,/Users/alexjordan/.hermes/skills/github/github-issues/SKILL.md,373,see_report
hermes,github-pr-workflow,/Users/alexjordan/.hermes/skills/github/github-pr-workflow/SKILL.md,367,see_report
hermes,github-repo-management,/Users/alexjordan/.hermes/skills/github/github-repo-management/SKILL.md,516,see_report
hermes,oss-pr-maintainer-workflow,/Users/alexjordan/.hermes/skills/github/oss-pr-maintainer-workflow/SKILL.md,137,see_report
hermes,pull-request-finalization,/Users/alexjordan/.hermes/skills/github/pull-request-finalization/SKILL.md,161,see_report
hermes,handling-secrets-in-tool-calls,/Users/alexjordan/.hermes/skills/handling-secrets-in-tool-calls/SKILL.md,71,see_report
hermes,hermes-desktop-plugins,/Users/alexjordan/.hermes/skills/hermes-desktop-plugins/SKILL.md,164,see_report
hermes,hermes-themes,/Users/alexjordan/.hermes/skills/hermes-themes/SKILL.md,138,see_report
hermes,find-nearby,/Users/alexjordan/.hermes/skills/leisure/find-nearby/SKILL.md,69,see_report
hermes,mcp-registry-publishing,/Users/alexjordan/.hermes/skills/mcp/mcp-registry-publishing/SKILL.md,85,see_report
hermes,mcporter,/Users/alexjordan/.hermes/skills/mcp/mcporter/SKILL.md,122,see_report
hermes,native-mcp,/Users/alexjordan/.hermes/skills/mcp/native-mcp/SKILL.md,356,see_report
hermes,gif-search,/Users/alexjordan/.hermes/skills/media/gif-search/SKILL.md,91,see_report
hermes,heartmula,/Users/alexjordan/.hermes/skills/media/heartmula/SKILL.md,171,see_report
hermes,songsee,/Users/alexjordan/.hermes/skills/media/songsee/SKILL.md,83,see_report
hermes,sports-video-event-extraction,/Users/alexjordan/.hermes/skills/media/sports-video-event-extraction/SKILL.md,181,see_report
hermes,youtube-content,/Users/alexjordan/.hermes/skills/media/youtube-content/SKILL.md,83,see_report
hermes,modal,/Users/alexjordan/.hermes/skills/mlops/cloud/modal/SKILL.md,344,see_report
hermes,evaluating-llms-harness,/Users/alexjordan/.hermes/skills/mlops/evaluation/evaluating-llms-harness/SKILL.md,498,see_report
hermes,weights-and-biases,/Users/alexjordan/.hermes/skills/mlops/evaluation/weights-and-biases/SKILL.md,598,see_report
